MSJ;TAG;NUN;USER;WHO;msj_norm
Esta lloviendo;1;;;;esta lloviendo 
quiero ir al centro a la mañana pero seguro llueve jajajajaja;0;41082.0;1.0274155327342182e+18;;quiero ir centro mañana pero seguro llueve  
@paloma_CAI7 Si, llueve y mucho !! 😒;1;86721.0;9.704967569736991e+17;; si  llueve mucho     \U0001f612 
@rozalazar9 Si llueve les hago 🤗;0;107171.0;1708397202.0;; si llueve hago  \U0001f917 
Hasta cuándo le voy a seguir teniendo miedo a las tormentas? 🙄😣;0;57648.0;8.477090563996262e+17;;hasta cuando voy seguir teniendo miedo tormentas   \U0001f644 \U0001f623 
@Eze2450 Sea la estación que sea , no hay plata! Y ahora llueve.. que te cambia? Jajaja tenés que estudiar igual;1;67700.0;191256823.0;; sea estacion sea   no hay plata  ahora llueve   cambia   tenes estudiar igual 
Llueve y no tengo Internet...me espera tremenda tarde;1;68738.0;2907214121.0;;llueve no tengo internet   espera tremenda tarde 
Que linda noche de lluvia 💖;1;41774.0;2266865857.0;;que linda noche lluvia  \U0001f496 
Miércoles de mucho calor, previo a las lluvias https://t.co/eFZV0fhc58;1;42346.0;173779746.0;;miercoles mucho calor  previo lluvias  
Me gusta cuando llueve porque parece que se estan fritando empanadas #PuesGorda 😂;0;17694.0;2560815076.0;;me gusta cuando llueve porque parece estan fritando empanadas  puesgorda  \U0001f602 
Noviembre sin ti es sentir que la lluvia me dice llorando que todo acabó 🎵;0;23489.0;184948957.0;;noviembre sin ti sentir lluvia dice llorando todo acabo  \U0001f3b5 
Con esta lluvia me dieron ganas de cucharear ! 😏;1;34084.0;1.0370528451058401e+18;;con lluvia dieron ganas cucharear    \U0001f60f 
Y se largo la lluvia ☔💕;1;18916.0;8.487135231276237e+17;;y largo lluvia  \u2614 \U0001f495 
Que hermosa tormenta;1;95969.0;472220088.0;;que hermosa tormenta 
@joaquinv17 dan lluvia jajaja;0;105577.0;1140026371.0;; dan lluvia  
Aseguran que hay stock suficiente de bengalas para combatir tormentas https://t.co/87eM3CTQSO;0;108440.0;1551111768.0;;aseguran hay stock suficiente bengalas combatir tormentas  
Aprobé un final con 8, tomé cervezas con amigos, estuve con mi novio, comi milanesa a la napolitana, me bañé con agua hirviendo y estoy por dormirme en sábanas limpias con la lluvia de fondo y mi gato al lado. Me siento más que realizada.;1;56816.0;316706686.0;;aprobe final con    tome cervezas con amigos  estuve con novio  comi milanesa napolitana  bañe con agua hirviendo estoy dormirme sabanas limpias con lluvia fondo gato lado  siento mas realizada  
