msj_ort;TAG
esta lloviendo ;1
quiero ir centro mañana pero seguro llueve  ;0
 si  llueve mucho     \U0001f612 ;1
 si llueve hago  \U0001f917 ;0
hasta cuando voy seguir teniendo miedo tormentas   \U0001f644 \U0001f623 ;0
 sea estacion sea   no hay plata  ahora llueve   cambia   tenes estudiar igual ;1
llueve no tengo internet   espera tremenda tarde ;1
que linda noche lluvia  \U0001f496 ;1
miercoles mucho calor  previo lluvias  ;1
me gusta cuando llueve porque parece estan fritando empanadas  pues gorda  \U0001f602 ;0
noviembre sin ti sentir lluvia dice llorando todo acabo  \U0001f3b5 ;0
con lluvia dieron ganas cucharear    \U0001f60f ;1
y largo lluvia  \u2614 \U0001f495 ;1
que hermosa tormenta ;1
 dan lluvia  ;0
aseguran hay stock suficiente bengalas combatir tormentas  ;0
aprobe final con    tome cervezas con amigos  estuve con novio  comi milanesa napolitana  bañe con agua hirviendo estoy dormirme sabanas limpias con lluvia fondo gato lado  siento mas realizada  ;1
llueve porque sebastian levanto simpatico \U0001f602 \U0001f602 ;1
 horrible todo  eso llueve asi ;0
mi padre dice ahora van tener poner jugar  yo mientras miro si forma tormenta no  \U0001f615 ;0
buena  pasaba clima  donde salio lluvia  ;1
que onda   llueve  sale sol  llueve  sale sol  tiempo mas loco yo  ;0
lo hermoso dias lluvia ;0
que vergüenza ver otros humanos bicicleta buscando refugio plena tormenta    poca alma bicicletera ;1
mi plan dormirme escuchando temas fasciolo con ruido lluvia fondo haciendo cucharita con gata ;0
como hace mambear lluvia ;1
estaria venga tormenta dure hasta mañana  ;0
 sin dudas usted gobernador querido mejor piloto tormentas     ;0
en santa fe llueve  ;1
adivinen quien mojo   gracias tormenta ;1
me gustado video       temporada     acerca tormenta    fortnite  battle royale   ;0
recien despierto siesta    con lluvia quien no duerme   igual hubiera estado mas piola si dormiamos siesta juntos  ;1
sos hermosa \U0001f60d  \u2014 abran paraguas lluvia datos  ;0
netflix   lluvia   perfeccion ;1
  ;1
me canso lluvia ;0
ojala pusiera mimosa    lluvia pone mas gorda  ;1
que hermosa lluvia \U0001f495 ;1
vieron cordoba hay gente estudiando tormentas  bueno  creo con hacian tesis ;0
no   pero yo amo dormir con lluvia man ;0
que lluvia pase largo  quiero salir manga forros ;1
se levanto tormenta rato otro ;1
salir patio escuchar truenos dolby surround      ;1
lea anuncian hasta    \  mas     lluvias entre rios fin año  advierten fenomenos meteorologicos alto impacto proximos dias       empezara lluvioso  mira informe especial provincia region   ;0
