,Message,Retweet Count,Created At,Username,Geo,Coord,Metadata
0,Este viernes música en vivo #jazz #rock #bielladacosta #bostonbakery @bielladacosta alvarofalcon.guit @juancarlinmusic en Boston Bakery https://t.co/Rk9xm2OCfY,0,2019-09-05 18:51:41,Boston Bakery,"{'type': 'Point', 'coordinates': [10.49761809, -66.84562505]}","{'type': 'Point', 'coordinates': [-66.84562505, 10.49761809]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
1,"[#Efemérides 🧐]
.
#UnDíaComoHoy, pero de 1946, nacía Farrokh Bulsara, más conocido como #FreddieMercury.
.
.
.
#FreddieMercury #Queen #Rock #Argentina https://t.co/nE04Pfhcrp",0,2019-09-05 18:48:17,Camarines Del Rock,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
2,Mañana Viernes 6 de Septiembre desde por la mañana tendré el placer de compartir con vosotr@s el nuevo tema. Contando las horas. #Rock #Radio #Music #News #Emergentes.,0,2019-09-05 18:43:52,To Brave My Soul,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
3,NONPALIDECE EN BERAZATEGUI !!!  @NotiBerazategui @nonpaoficial @CulturaBe @MuniBerazategui #BERAZATEGUI #BeraRock #FrenteCulturalUrbano #Nonpalidece #Cultura #Rock #BuenosAires #Argentina  @DeniseDeniseTw https://t.co/QrJuJCDgOo,0,2019-09-05 18:39:12,Frente Cultural Urbano,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
4,"Ya estamos planeando fechas. Dónde nos faltaría tocar?
.
.
.
.
#rocknroll #rockbands #rock #rockchileno #rockband #hardrock #heavymetal #metal #musicachilena #musicaindependiente #powertrio #bandaschilenas… https://t.co/aEAwJKxBYI",0,2019-09-05 18:35:17,NitroHell,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
5,"La cita es el proximo 21 de septiembre, las guitarras sonarán  más fuerte que nunca🔥
I Love Litio Ipiales 
#show #concierto #live #amoryamistad #band #rock #funk #I❤LitioIpiales #performance en Ipiales, Narino https://t.co/WLynUFWCf3",0,2019-09-05 18:32:00,Roken Lab,"{'type': 'Point', 'coordinates': [0.830278, -77.6444]}","{'type': 'Point', 'coordinates': [-77.6444, 0.830278]}","{'iso_language_code': 'es', 'result_type': 'recent'}"
6,Otra semana en @solyrabiaradio el pasado domingo y tuve el placer de pinchar a @ingravito y su #LosCuentosdeSara! el próximo Domingo te espero en #DalePunkiDale repasando al panorama estatal e internacional de #melilla #punk #rock #ska #metal https://t.co/K3zr9bK5Oi,0,2019-09-05 18:30:42,Dale Punki Dale,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
7,"Mañana increíble show de @ViejasCost en fankybar junto a saramagorock . La cosa es temprano así que atento al horario! 23 hs estaremos largando nuestro show!! Ahí te espero!! 😉
-
-
#rock #flyer #bandofrock #banda… https://t.co/oH0jKr6mQB",0,2019-09-05 18:26:28,David J Desivo,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
8,"¡Hoy es mi cumpleaños morros!
#Música #Rock #Folk #Son #OscarRockmero #RabaRock #MúsicaIndependiente #LosMochis #Sinaloa #México #RockMochitense #FolkMochitense #Amorfo #Demeins #Sonsinombre https://t.co/P7SPai8YqO",0,2019-09-05 18:19:58,Oscar Rockmero,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
9,"#Efemérides del #Rock 05 de septiembre de 1987 la banda #GrimReaper lanza su tercer álbum de estudio llamado ""Rock You To Hell"", en el cual se incluyen temas como: ""Lust for Freedom"", ""When Heaven Comes Down"" y el éxito ""I Want More"" https://t.co/YOXU3xMulp",0,2019-09-05 18:18:53,\m/ (Möshe) \m/ ⑫,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
10,videografia de @QueenWillRock por @vh1la la banda inglesa de #Rock que siempre quedara en la historia de la #música no solo por sus canciones sino por que ha traspasado fronteras generacionales gracias a su #biopic filmico #BohemianRhapsody que fue el #Hype en 2018,0,2019-09-05 18:15:27,VJ Coniie,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
11,"Prepárate @CampariMilano, llega @torisparks y su extraordinaria banda!!! #WaitNoMore #blues #flamencofusion #rock #Nashville https://t.co/0BDikIhXYd",0,2019-09-05 18:14:46,ANGEL BERGADÀ,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
12,"#Rock #ProgressiveRock #ArtRock #AlternativeRock Avant-garde / #PostRock #Experimental #Versatility #ModernRock #DeathAnthems #Badass #MaynardJamesKeenan #Tool

TOOL - Descending (Audio) https://t.co/3yqvLrgN1p vía @YouTube",0,2019-09-05 18:14:20,Irving Alabat Fernández,,,"{'iso_language_code': 'es', 'result_type': 'recent'}"
