,Twit,Tag,Num,Nombre
0,Esta lloviendo,1,,
1,quiero ir al centro a la mañana pero seguro llueve jajajajaja,0,41082,
2,"@paloma_CAI7 Si, llueve y mucho !! 😒",1,86721,
3,@rozalazar9 Si llueve les hago 🤗,0,107171,
4,Hasta cuándo le voy a seguir teniendo miedo a las tormentas? 🙄😣,0,57648,
5,"13h ClimaRafaela: Temp. 20.9 °C, Hum. 48 %, Bar. 1010.1 mbar, Lluvia 0.2 mm, Viento 10.4 km/h SSO #Weathercloud",0,59046,
6,"@Eze2450 Sea la estación que sea , no hay plata! Y ahora llueve.. que te cambia? Jajaja tenés que estudiar igual",1,67700,
7,Llueve y no tengo Internet...me espera tremenda tarde,1,68738,
8,Que linda noche de lluvia 💖,1,41774,
9,"Miércoles de mucho calor, previo a las lluvias https://t.co/eFZV0fhc58",1,42346,
10,Me gusta cuando llueve porque parece que se estan friendo empanadas #PuesGorda 😂,0,17694,
11,Noviembre sin ti es sentir que la lluvia me dice llorando que todo acabó 🎵,0,23489,
12,"17h Agvnet CDU: Temp. 32.4 °C, Hum. 33 %, Bar. 997.3 hPa, Lluvia 0 mm, Viento 11.2 km/h SE #Weathercloud",0,89298,
13,Con esta lluvia me dieron ganas de cucharear ! 😏,1,34084,
14,Y se largo la lluvia ☔💕,1,18916,
15,Que hermosa tormenta,1,95969,
16,@joaquinv17 dan lluvia jajaja,0,105577,
17,Aseguran que hay stock suficiente de bengalas para combatir tormentas https://t.co/87eM3CTQSO,0,108440,
18,"Aprobé un final con 8, tomé cervezas con amigos, estuve con mi novio, comi milanesa a la napolitana, me bañé con agua hirviendo y estoy por dormirme en sábanas limpias con la lluvia de fondo y mi gato al lado. Me siento más que realizada.",1,56816,
19,Llueve pq Sebastian se levanto simpático😂😂,1,784,
20,@valenzampani Horrible todo. Por eso llueve así,0,28569,
21,Mí padre dice que ahora se van a tener que poner a jugar. Yo mientras miro si se forma tormenta o no 😕,0,66936,
22,"buena, que le pasaba al clima jajaja de donde salio esta lluvia?",1,56037,
23,"Que onda?? Llueve, sale el sol, llueve, sale el sol. El tiempo está mas loco que yo.",0,19261,
24,Lo hermoso que son los días de lluvia,0,48705,
25,Que vergüenza ver a otros humanos en bicicleta buscando refugio en plena tormenta... Que poca alma bicicletera,1,45177,
26,Mi plan es dormirme escuchando los temas de fasciolo con el ruido de la lluvia de fondo y haciendo cucharita con mi gata,0,22643,
27,"23h Agvnet CDU: Temp. 20.7 °C, Hum. 94 %, Bar. 1010.6 hPa, Lluvia 0 mm, Viento 3.6 km/h NE #Weathercloud",0,89315,
28,Como me hace mambear esta lluvia,1,74062,
29,Estaría para que venga una re tormenta y que dure hasta mañana jajajajaja,0,108083,
