Twit,Tag,Num,Nombre
Esta lloviendo,1,,
quiero ir al centro a la mañana pero seguro llueve jajajajaja,0,41082,
"@paloma_CAI7 Si, llueve y mucho !! 😒",1,86721,
@rozalazar9 Si llueve les hago 🤗,0,107171,
Hasta cuándo le voy a seguir teniendo miedo a las tormentas? 🙄😣,0,57648,
"13h ClimaRafaela: Temp. 20.9 °C, Hum. 48 %, Bar. 1010.1 mbar, Lluvia 0.2 mm, Viento 10.4 km/h SSO #Weathercloud",0,59046,
"@Eze2450 Sea la estación que sea , no hay plata! Y ahora llueve.. que te cambia? Jajaja tenés que estudiar igual",1,67700,
Llueve y no tengo Internet...me espera tremenda tarde,1,68738,
Que linda noche de lluvia 💖,1,41774,
"Miércoles de mucho calor, previo a las lluvias https://t.co/eFZV0fhc58",1,42346,
Me gusta cuando llueve porque parece que se estan fritando empanadas #PuesGorda 😂,0,17694,
Noviembre sin ti es sentir que la lluvia me dice llorando que todo acabó 🎵,0,23489,
"17h Agvnet CDU: Temp. 32.4 °C, Hum. 33 %, Bar. 997.3 hPa, Lluvia 0 mm, Viento 11.2 km/h SE #Weathercloud",0,89298,
Con esta lluvia me dieron ganas de cucharear ! 😏,1,34084,
Y se largo la lluvia ☔💕,1,18916,
Que hermosa tormenta,1,95969,
@joaquinv17 dan lluvia jajaja,0,105577,
Aseguran que hay stock suficiente de bengalas para combatir tormentas https://t.co/87eM3CTQSO,0,108440,
"Aprobé un final con 8, tomé cervezas con amigos, estuve con mi novio, comi milanesa a la napolitana, me bañé con agua hirviendo y estoy por dormirme en sábanas limpias con la lluvia de fondo y mi gato al lado. Me siento más que realizada.",1,56816,
Llueve pq Sebastian se levanto simpático😂😂,1,784,
@valenzampani Horrible todo. Por eso llueve así,0,28569,
Mí padre dice que ahora se van a tener que poner a jugar. Yo mientras miro si se forma tormenta o no 😕,0,66936,
"buena, que le pasaba al clima jajaja de donde salio esta lluvia?",1,56037,
"Que onda?? Llueve, sale el sol, llueve, sale el sol. El tiempo está mas loco que yo.",0,19261,
Lo hermoso que son los días de lluvia,0,48705,
Que vergüenza ver a otros humanos en bicicleta buscando refugio en plena tormenta... Que poca alma bicicletera,1,45177,
Mi plan es dormirme escuchando los temas de fasciolo con el ruido de la lluvia de fondo y haciendo cucharita con mi gata,0,22643,
"23h Agvnet CDU: Temp. 20.7 °C, Hum. 94 %, Bar. 1010.6 hPa, Lluvia 0 mm, Viento 3.6 km/h NE #Weathercloud",0,89315,
Como me hace mambear esta lluvia,1,74062,
Estaría para q venga una re tormenta y q dure hasta mañana jajajajaja,0,108083,
"#VillaMaria 17:00 hs | Temp 32.4°C Min=21.0°C (05:16) Max=32.4°C (16:34) | Hum.40 | Viento 11.2 km/h ENE, Pres.986.2 hpa Lluvia   0.0 mm",0,69607,
@alberto_rsaa Sin dudas usted gobernador querido es el mejor Piloto de tormentas !!!,0,58699,
En santa fe llueve?,1,109383,
Adivinen quien se mojó?? Gracias tormenta,1,45202,
Me ha gustado un vídeo de @YouTube (https://t.co/y2adZVgXvD - **TEMPORADA 7** SE ACERCA UNA TORMENTA!!? FORTNITE: Battle Royale).,0,49227,
"recién me despierto de la siesta ...con esta lluvia quien no duerme , igual hubiera estado más piola si dormíamos la siesta juntos ahre",1,28392,
Sos hermosa😍 — Abran los paraguas para la lluvia de datos https://t.co/VYXFOWRooI,0,44043,
Netflix + lluvia = perfeccion,1,53927,
"@LuchoCabj101 Ay si boludo,que tormenta horrible",1,101828,
me cansó la lluvia,0,53329,
Ojalá me pusiera mimosa... la lluvia me pone más gorda de lo que soy https://t.co/0EEk04CLD3,1,33924,
Que hermosa lluvia💕,1,63079,
"Vieron que en Córdoba hay gente estudiando las tormentas. Bueno, creo que con esta hacían la tesis",0,25043,
"El tiempo #en Santa Fe:
Barrio Constituyentes
T: 25.3°C
H: 21%
ST: 25.3°C
P: 1016.1hPa
Lluvia hoy: 0.0mm.",0,38539,
"No se , pero yo amo dormir con lluvia man",0,73126,
"13h Agvnet CDU: Temp. 22.7 °C, Hum. 44 %, Bar. 1014.4 hPa, Lluvia 0 mm, Viento 7.2 km/h NE #Weathercloud",0,18300,
"Que la lluvia pase de largo, quiero salir manga de forros",1,2449,
Se levantó tormenta de un rato a otro,1,101085,
Salir al patio y escuchar los truenos en Dolby Surround 7.1 jajaja,1,93903,
Lea en EstaciónPlus:Anuncian hasta 40° y más de 100 mm de lluvias en Entre Ríos este fin de año: Advierten por fenómenos meteorológicos de alto impacto en los próximos días. El 2019 empezará lluvioso. Mirá el informe especial para la provincia y la región https://t.co/u0PNOEPbIX https://t.co/kiRKECaYmS,0,104888,
Encima q lindo andar bajo la lluvia 😍😍😍😍 q feo el calor del departamento 😭😭😭😭,0,3311,
"Datos actuales en #SantaFe
Barrio Candioti Norte:
T: 20.9°C
H: 79%
ST: 20.9°C
P: 1008.1hpa
Lluvia hoy: 9.0mm",0,98874,
Uno de los placeres de la vida... Dormir mientras llueve💞,1,57153,
Hay que dormir nomas dice la lluvia,1,53134,
"@Fernandofr333 @Apuntes_ El video es otro tema, porque depende de la complejidad que quiera darle al archivo. Si son sólo fotos o si son videos.

Mañana paso data porque estoy bajo tormenta de LPM y se corta la luz q cada rato... https://t.co/J6ti4cHrRV",0,78139,
"@camilasanchezn Es el uno , cuando wos , cacha , trueno, etc. Estaban en el quinto el y Dtoke ya estaban en la red bulls Inter. Una bestia jaja",0,42242,
Que ganas de hacer cucharita con mi wacho con esta lluvia,1,8498,
"Ya sabemos que llueve, manga de forros",1,65075,
re xxl la lluvia,1,87802,
"Venia del gym en plena tormenta re relajada, me cruza un hombre y me dice ""corre que se vienen las piedras"" cai en que podía ser posible y empecé a correr jajajajajaja",0,92671,
Por fin lluvia hdp,1,104979,
tengo ganas de salir a bicicletear pero viendo sus fotos y vídeos de piedras y lluvia me dio miedo. Es su culpa jeje ahre,0,82308,
"Dormi lindo che, te extrañaba lluvia!!",0,68561,
El miedo que le agarre a las tormentas de noche 😓,0,90869,
Vete de aquí tormenta.,1,55054,
Y llegó la tan ansiada lluvia 😀,1,100512,
Alguien está escuchando esos truenos?,1,1413,
Se ve que la tormenta fue copada porque Tiro el árbol locoooooo,0,70632,
"a una hora de ir a trabajar, y llueve como locos en camilo aldao!",1,16815,
Mi viejo que cae un rayo y corta la luz,0,28975,
"Haganse el favor de salir a mirar el cielo, que belleza.
Casi no se ve la lluvia de estrellas, pero igual el cielo esta lleno",0,72240,
Los días de lluvia😍,0,51043,
Anoche me desperté por un rayo y lo primero que pensé fue OIGAN MUCHACHO ESCUCHARON EL RELAMPAGO??? Tengo la mente matada ya,0,109617,
Se larga la lluvia. Fijar este tuit https://t.co/beFY90qKxK,0,92684,
"No sé a mi la lluvia no me motiva para nada a estudiar, solo quiero dormir",1,86344,
"Estamos en una época en que nos chupa un huevo el otro, donde sólo nos importa cagarnos en el esfuerzo que hacen, en su persona y NOS CHUPA UN HUEVO cómo se sienta, si total, yo estoy bien, el resto... que lo parta un rayo",0,57855,
"si llueve ya saben porque es, estoy yendo al colegio",0,57913,
DATO DE LLUVIA CAÍDA EN GUALEGUAY  53,0,70412,
@Flawless_swan Sh deja la lluvia tranquila para los que vamos a dormir siesta 😝,1,93625,
Ta para desmayarse con esta lluvia,1,43590,
Amo ver cómo están las canchas con la lluvia para mi es admirable ver cómo con tanta lluvia algunos campos están impecables,0,7722,
como no te cae un rayo en la cabeza la reconcha de tu madre https://t.co/XxZHS9BqZ1,0,32423,
"🌧 La imagen satelital de esta mañana del @SMN_Argentina muestra un gran frente de tormenta que abarca el sur de Santa Fe, la provincia de Entre Rios y el noreste de la provincia de Buenos Aires.

☀ Clima despejado para el resto de las zonas productoras.

» (1/2) https://t.co/LhujSXJgdE",0,64804,
